sessionId (id),page (text),latency (int),timeOnPage (float)
b6f8d90b,query,114,343.637
b94a5b1f,query,17,384.602
b7dc6a9a,index,35,48.443
3941ab5f,explore,22,95.53
b9058a3a,query,84,311.989
b8160561,index,16,30.133
b8e5a9d7,query,17,309.952
b727c7ed,query,112,382.6
390d228a,query,17,318.658
b913fa3d,index,7,53.618
b8b7a428,welcome,27,20.465
3884d3b8,explore,465,90.908
b922e3e3,explore,91,168.067
3905baf4,index,5,52.056
b8d56faf,welcome,13,10.084
b8d19bd2,,25,
b69d376c,query,17,468.058
b83f119a,explore,36,93.533
b727c7ed,welcome,7,22.551
37f2055b,query,59,343.08
37295f54,explore,293,91.275
38ff8474,welcome,8,17.15
39449ddc,query,143,271.944
b8f365e5,welcome,17,38.571
b76cdcea,explore,210,77.391
b895837d,explore,22,57.461
3845e841,index,25,36.428
393d8a15,welcome,99,4.808
386d2da5,query,81,461.419
38e9c25e,query,159,438.359
394107ce,,30,
379b1d53,index,4,34.428
37e2e123,explore,22,58.053
b9069c73,welcome,30,22.222
370571d4,explore,120,139.295
38edab26,explore,334,156.61
b743e5c6,query,66,389.615
b87cde16,welcome,48,22.356
b8989f91,welcome,36,31.433
b7fddf00,index,37,59.795
37f82166,query,63,378.229
b914eada,query,39,483.091
37dd5930,explore,185,144.839
b8997506,welcome,107,21.501
38aafec6,explore,117,108.612
b684a433,query,110,416.942
392c9861,query,51,438.269
b7dc6a9a,explore,153,111.762
3794ed75,explore,27,173.874
b9058a3a,welcome,78,25.682
38946284,welcome,7,26.248
38551544,query,47,398.84
b8817cf7,welcome,61,41.441
b7711fd2,welcome,106,21.274
b6f8d90b,,20,
37f2055b,explore,95,107.62
382db31a,welcome,32,18.746
3.92E+09,index,5,46.204
b914e7a0,explore,103,156.76
3795b01d,explore,53,145.82
b63335a2,welcome,15,25.987
b8a61c3d,,86,
b898d23e,,52,
b8656837,query,20,351.407
b9036d74,query,44,340.579
3791a42e,query,57,481.995
38731251,query,276,407.372
b7599dee,query,17,340.803
b867a142,welcome,25,51.878
b87cde16,,28,
b909b158,explore,22,98.339
b8da46e6,query,162,406.224
b957115e,welcome,12,11.781
380659cb,query,17,436.167
b8391a61,explore,51,54.577
37ab4274,index,4,37.203
b6b8e96f,explore,104,148.895
3871107a,query,17,433.024
b915b875,welcome,20,31.98
b97b1f52,query,17,387.455
38826074,welcome,71,30.985
b8e6681d,query,149,320.752
b89358fa,welcome,24,33.612
37e627d2,,13,
b8c09db8,explore,66,109.979
38b53b45,query,224,287.958
380f0830,index,20,36.28
b7851092,explore,96,68.098
b73cf870,query,285,403.275
3867b4fa,explore,93,97.655
b961b7f3,,10,
38790dde,query,99,367.992
b8a57e40,query,31,464.852
38fa3202,query,42,451.862
b7ca73fe,query,44,315.411
3941ab5f,query,116,418.896
b928afbe,explore,115,103.05
b80488d1,query,51,509.119
381dc512,welcome,51,39.25
38bf4757,explore,22,135.479
396a04f5,explore,84,61.44
386d2da5,explore,31,60.205
b8c172c6,query,117,307.074
3.89E+41,explore,163,95.934
3744b737,explore,28,130.753
b6b8e96f,,71,
385539b2,welcome,10,41.896
39006782,welcome,37,26.426
b913fa3d,,200,
b8da93e2,,10,
b7cd9fae,query,292,397.689
b8083d73,query,17,407.798
38f5c56b,query,95,358.612
38d3b1c9,query,324,433.588
383abed1,query,130,383.167
b8f55c89,welcome,59,30.679
3827db44,query,20,337.118
b95624a3,query,17,455.135
b78ab09a,query,546,334.423
b867a142,query,67,299.587
38b768a6,query,87,478.465
b914e7a0,query,56,451.752
b727c7ed,explore,137,125.601
b78e0dd7,explore,160,84.36
b8b0e081,welcome,8,39.8
b7b79d06,explore,141,108.029
371b2fbe,query,157,390.429
b915b875,explore,670,146.541
3959531f,query,21,421.321
b8e1fea6,explore,48,119.914
377f7199,query,45,406.594
b8621b79,explore,356,135.455
b7599dee,explore,22,117.872
b9093311,explore,108,108.038
38b53b45,explore,76,96.334
b8da46e6,query,185,319.39
b8d19bd2,explore,82,33.521
385539b2,explore,86,73.653
38876233,explore,189,108.966
b98f41a7,,10,
b6e567e4,welcome,7,21.945
38c31cae,explore,130,111.943
b8c69d26,query,161,344.006
380f0830,query,198,392.026
382db31a,explore,105,55.542
b9a11327,query,22,461.404
36b6fc81,query,18,384.882
b8cfbab8,query,106,353.776
371b2fbe,explore,176,37.026
b78ab09a,explore,55,122.71
37cca1bf,query,49,374.628
b860ffac,explore,37,93.726
388cea01,explore,107,88.052
b6bfc32c,welcome,30,46.668
38edab26,explore,141,149.506
b842859b,query,19,535.769
b70bcb2c,query,72,471.209
37f7103f,query,75,386.75
b891a53e,explore,89,32.773
385bf153,explore,22,15.031
3744b737,,173,
b7e9cf39,,77,
396a04f5,welcome,51,31.516
3912716d,query,17,436.356
386d2da5,,10,
37b3f54d,welcome,7,34.013
b802185b,explore,22,97.28
3431e690,index,6,71.541
b9315418,query,17,351.959
b94e2817,index,46,78.024
3901fa95,explore,22,152.511
39041af1,index,57,73.63
b928afbe,welcome,13,23.578
377f7199,index,4,45.296
b957115e,query,416,319.311
381e9853,query,17,427.249
38e75f40,welcome,18,37.582
b8c0d87a,welcome,7,16.069
b957115e,explore,33,165.883
b8a7d0b8,welcome,22,40.55
37db1c2e,query,167,412.626
370571d4,explore,298,115.578
3858424d,welcome,7,28.616
b688a066,welcome,27,33.346
37dbf1b8,welcome,89,26.522
39463fd5,query,26,443.265
37e627d2,,37,
39872d38,query,32,291.955
b8660f88,query,17,428.904
38946284,query,127,421.462
b6e9962b,query,70,237.037
b688a066,query,170,367.235
3871107a,explore,68,123.634
b788a64e,welcome,7,36.026
b8997506,query,17,424.393
38ff8474,query,96,460.258
38c31cae,,29,
3.89E+41,explore,33,114.048
b8656837,query,163,444.602
38b0ba4b,query,20,337.862
b83daced,query,17,262.017
37dbf1b8,explore,108,84.618
38551544,query,17,316.957
3791a42e,explore,108,84.209
381e9853,query,17,371.103
381e9853,explore,137,124.498
3908895c,query,77,412.871
b6b8e96f,explore,22,90.373
b867a142,welcome,7,30.712
b88659dd,query,46,444.747
3959531f,query,126,269.123
b8d56faf,welcome,47,15.889
b80488d1,welcome,11,17.445
b8d19bd2,index,15,46.788
b92a4e3d,index,28,56.305
b78d0280,welcome,132,42.554
b94e2817,,50,
b89358fa,query,42,323.719
38fa3202,index,4,65.156
b76cdcea,welcome,82,11.339
386d2da5,,50,
3791a42e,explore,159,47.043
b8c09db8,explore,119,86.535
37b3f54d,welcome,36,32.419
35cfb7c7,query,92,275.481
b93c1e35,query,17,355.165
b9058a3a,explore,171,102.189
35f3508e,query,208,436.802
b922e3e3,explore,80,113.9
3827db44,query,79,297.878
b8eb4d4e,query,39,377.648
35b444af,explore,22,192.343
38aafec6,explore,78,96.76
b880fe2e,query,17,405.152
38551544,index,20,28.398
3857dfc6,,19,
b913fa3d,explore,22,84.079
b8cfbab8,explore,22,181.373
3861d537,,51,
b70bcb2c,query,296,294.47
38e2c522,index,4,54.655
38a53e49,welcome,32,23.328
b803639d,explore,40,65.976
b887db02,query,49,434.221
b9a11327,query,94,386.293
38a9f6f5,explore,60,103.844
b8c172c6,explore,45,99.815
b7711fd2,explore,27,142.129
b8bb10b7,explore,67,118.095
38876233,query,71,372.518
37f7103f,query,69,401.653
37f9de59,index,14,84.899
b8391a61,query,89,355.172
3861d537,explore,117,75.666
396a04f5,query,17,341.605
38fa3202,index,4,86.208
b8884021,,28,
38fa3202,welcome,32,28.351
b7dc6a9a,query,20,322.712
388473f3,explore,129,35.805
b68320d1,explore,77,89.108
37f2055b,query,95,307.956
37cca1bf,index,4,70.679
b7ecd50e,explore,22,165.04
381e9853,,55,
b7dba582,query,17,306.775
b928afbe,query,82,302.301
38e75f40,,10,
39872d38,explore,67,51.149
382345b2,query,115,391.323
b7b187ea,index,8,67.82
b8d1dabb,query,100,320.217
b8372421,query,379,420.987
b97b1f52,explore,50,92.796
b826784b,explore,481,143.644
b7f28310,query,17,386.557
3801f09c,welcome,18,40.66
b9073d39,query,17,355.88
36b6fc81,query,17,353.708
395db9dc,welcome,16,33.02
b913fa3d,index,26,42.156
b7e1c8a3,query,17,384.225
394107ce,query,178,489.001
b727c7ed,welcome,7,32.99
3867b4fa,explore,234,121.363
b8bb10b7,welcome,31,32.907
b8a3ab17,query,39,375.637
b9058a3a,query,17,368.814
b63ebe25,,20,
b913fa3d,index,5,55.332
b7c6f37d,explore,32,102.621
b8bb2174,explore,61,121.862
b8ee782d,query,133,412.564
b780efe5,explore,96,101.086
370571d4,explore,69,106.894
b9a11327,query,17,411.198
b9315418,index,24,47.027
38790dde,query,21,343.3
38e75f40,query,17,346.652
3912716d,welcome,7,31.806
38fa3202,explore,227,133.465
b78e0dd7,explore,219,129.536
381e9853,index,5,35.782
b7d41379,welcome,59,30.976
b684a433,query,32,278.235
3871107a,explore,140,88.095
38e75f40,explore,83,78.691
b81aac1c,index,9,66.945
37ad3faf,explore,49,157.344
b97b1f52,welcome,14,42.236
b898d23e,query,239,410.086
3988f9c2,explore,68,44.874
b8c09db8,query,56,326.038
b9166fd4,query,17,332.73
b81aac1c,query,18,381.15
38dfb031,welcome,7,27.25
b928afbe,explore,22,52.442
b6f8d90b,query,172,402.391
b871cdab,explore,120,58.218
39463fd5,query,192,350.134
b8d358f0,query,52,312.344
b8b7a428,welcome,18,44.461
b89358fa,query,17,321.446
36efb219,explore,178,176.948
382533f1,explore,247,165.16
385539b2,explore,342,123.643
b8569c03,explore,59,142.54
b7b187ea,explore,267,79.222
3472f217,query,30,278.772
b72e9d50,explore,53,112.307
37dbf1b8,welcome,22,22.415
b842859b,explore,22,100.212
b8a3ab17,query,253,294.521
b7b79d06,explore,22,156.185
b8b14542,index,35,46.288
38edf1a3,query,63,395.686
394107ce,welcome,31,30.422
387fd3f2,explore,62,104.977
b81aac1c,welcome,7,42.464
38ebf974,,10,
b853d519,explore,22,62.011
b8adaed6,explore,87,72.194
b95624a3,query,17,390.023
b97c6f36,query,117,459.676
390c3506,index,33,46.51
38dbc151,explore,61,109.909
38acbfc9,welcome,14,31.056
b8ee782d,welcome,16,28.999
b8bff102,query,17,396.097
b821442d,query,17,373.021
b8372421,query,63,391.998
b98f6b2a,query,33,351.294
b8a21496,query,72,456.239
38da9d49,welcome,63,23.472
b788a64e,query,117,415.642
38ebf974,query,314,380.275
38a53e49,welcome,7,25.289
b853adc7,welcome,19,17.781
38b157d8,query,56,414.471
39244681,welcome,178,24.558
b8d66d35,explore,22,120.227
387fd3f2,welcome,15,32.14
38790dde,explore,82,83.129
b817c50e,query,41,277.185
3858424d,query,203,362.707
b8997f4c,query,106,459.336
b8a3d144,welcome,9,28.296
b957115e,explore,229,119.453
390d228a,query,35,493.061
382533f1,,16,
b909b158,welcome,73,23.848
38a5e6dc,welcome,26,14.833
38106d1a,welcome,59,32.155
b8c69d26,welcome,7,5.327
3912a215,welcome,7,18.955
b6e9962b,query,19,366.759
3861d537,explore,34,96.426
b7ca73fe,welcome,48,22.336
38be11d8,query,81,439.864
392269f6,explore,22,156.827
380659cb,query,73,511.364
b788a64e,welcome,69,33.397
b853d519,query,22,478.761
390a543e,query,17,374.128
b8d66d35,explore,22,96.26
b76cdcea,welcome,13,32.736
38498b7e,query,23,271.994
b8bba093,explore,169,124.215
b9073d39,index,30,63.324
38a7586c,query,32,301.91
38be11d8,explore,70,86.885
b78e0dd7,welcome,38,23.169
38678694,explore,22,97.964
38a5e6dc,,10,
b802185b,query,87,339.105
b842859b,explore,22,109.803
b8eb4d4e,explore,38,79.357
38da9d49,query,18,306.579
37a6168f,welcome,17,30.527
b7cd9fae,explore,38,128.859
b826ffe7,query,17,306.749
b8adaed6,query,17,368.551
b8b7a428,welcome,7,29.738
3472f217,query,48,312.31
b957115e,explore,34,130.696
b8083d73,query,17,413.6
37cca1bf,explore,107,82.722
b8d3ccd1,,46,
b63335a2,query,106,379.942
3969e39d,explore,164,147.299
b8391a61,welcome,7,49.056
38bc1af6,welcome,55,32.04
b89e1007,query,139,298.33
b895837d,query,17,384.952
b914e7a0,explore,332,192.135
392c9861,welcome,9,33.876
b72f7963,query,199,396.78
b802185b,welcome,7,32.997
b80488d1,welcome,23,35.398
b8bba093,explore,72,52.551
b7b11343,query,147,378.67
388473f3,welcome,41,34.737
b8083d73,query,19,365.871
3827db44,query,17,399.689
b9315418,query,65,312.621
b743e5c6,explore,87,121.765
b8b6d7a6,,10,
b98f6b2a,query,28,327.753
b7f28310,welcome,162,23.364
38bc1af6,query,80,427.97
37cca1bf,explore,174,91.373
b874f71a,index,4,64.849
b87c4065,welcome,40,13.941
384f2238,explore,47,141.669
390d228a,query,17,406.533
b8f51d3a,explore,142,143.898
37c8fbf3,query,80,307.94
3827db44,query,17,408.669
b78e3163,query,23,314.803
b957115e,,66,
3901fa95,,63,
b842859b,query,33,344.295
38f5c56b,query,127,349.17
390c3506,index,11,58.536
387347f1,explore,51,117.243
3.92E+09,query,62,407.998
38d9e91d,query,140,373.141
384ccca7,index,58,54.341
b6f8d90b,explore,220,170.694
b7ecd50e,query,336,407.854
38ff8474,query,105,267.181
395db9dc,,74,
39163a9b,explore,26,134.659
b895837d,explore,87,180.563
b880fe2e,query,42,386.329
b9315418,query,26,440.398
b7006301,query,19,315.869
3744b737,query,141,350.985
381e9853,query,337,520.134
3884d3b8,explore,22,70.117
b7b59c98,welcome,42,35.436
37c64359,index,17,35.2
38bc1af6,query,64,377.581
371b2fbe,explore,104,71.97
b836089c,explore,206,137.848
b8a7d0b8,explore,52,141.541
38a7586c,welcome,42,32.982
38790dde,query,17,394.219
b78b6241,explore,129,53.622
3809ff9f,query,17,453.371
b870db1c,index,23,57.993
b7150245,query,17,377.686
b8dd316b,query,17,408.489
387e161c,,10,
b6b8e96f,query,64,330.096
38dbc151,explore,159,73.906
37c8fbf3,explore,32,109.012
37a6168f,explore,32,138.982
b8c69d26,explore,458,63.269
b817c50e,query,200,432.401
385539b2,explore,70,87.165
b78e3163,,10,
b7d41379,query,90,371.172
3857dfc6,query,107,353.593
b788a64e,query,17,346.122
3744b737,explore,222,97.766
39163a9b,query,111,380.221
388cea01,query,88,389.517
b63335a2,query,17,456.896
b63ebe25,query,34,313.289
37dbf1b8,query,17,452.212
b891a53e,index,16,53.086
b826784b,query,45,356.453
b826784b,query,85,322.257
b6e9962b,welcome,13,29.363
3744b737,query,21,319.269
b8463fd8,explore,220,92.069
38b0ba4b,query,180,345.627
37a1058d,query,46,362.747
39872d38,welcome,66,29.792
38250955,,20,
392269f6,query,71,415.141
b8da46e6,explore,22,93.737
37e627d2,welcome,83,24.774
37f2055b,query,49,366.655
b63ebe25,explore,587,83.139
37dbf1b8,query,17,427.795
38e7e056,explore,25,60.151
b9a11327,query,128,435.637
b727c7ed,query,58,295.17
b9a11327,welcome,11,34.873
b88a09a7,query,90,363.6
3858424d,query,75,354.914
38f5c56b,welcome,7,26.415
38e9c25e,explore,38,126.069
b8a57e40,explore,110,125.267
b6b8e96f,explore,22,146.507
b83daced,welcome,67,26.288
395db9dc,index,27,65.025
b90fcff0,welcome,19,25.824
b7e9cf39,query,81,254.248
b922e3e3,query,17,440.131
39449ddc,query,17,293.596
38acbfc9,query,116,338.096
38c8cabf,explore,261,177.835
b88659dd,explore,234,98.934
38da9d49,query,53,385.057
37921011,explore,56,199.937
b98f41a7,query,198,295.02
b8b14542,,46,
3899ea49,welcome,13,19.241
39041af1,explore,125,85.632
b78e3163,welcome,48,29.694
38a2afc1,query,158,366.474
b8d1dabb,welcome,7,18.233
3912a215,explore,101,116.571
b8c09db8,welcome,56,17.128
b9166fd4,explore,30,65.959
38dfb031,explore,252,143.585
b929ba86,,39,
b86cb46d,explore,116,109.73
388c423e,explore,31,152.648
394107ce,query,17,291.399
38edf1a3,index,7,58.915
394107ce,query,74,381.975
b8cc8870,query,17,382.093
38b6b950,query,17,418.395
390c3506,,16,
38edab26,explore,144,103.812
39449ddc,welcome,7,30.235
b8660f88,query,18,304.458
3825c62e,index,4,50.858
3905baf4,query,107,442.707
391e2eeb,query,131,370.95
390d228a,explore,161,151.683
385539b2,query,73,383.351
38ef3cac,query,17,329.144
37b3f54d,query,157,377.437
396c890c,explore,50,80.653
3911c751,index,56,52.481
38a7586c,welcome,12,43.271
b87c4065,query,108,430.837
b957115e,query,165,405.273
b8817cf7,explore,61,110.543
b8a57e40,welcome,26,34.632
b929ba86,explore,519,136.418
3.80E+08,welcome,33,26.869
385b8ebd,index,11,62.235
b8989f91,explore,22,156.948
b8a7d0b8,query,174,324.152
b826ffe7,query,86,353.279
b8f55c89,query,42,364.206
b8bba093,welcome,16,35.652
3744b737,welcome,28,27.681
387347f1,explore,103,81.232
3905baf4,query,104,333.998
39872d38,index,5,20.751
b8d1dabb,explore,149,101.664
395db9dc,,147,
b860ffac,explore,166,88.531
b743e5c6,query,111,373.702
382db31a,explore,92,129.523
370571d4,explore,181,95.539
38e7e056,explore,62,117.021
38946284,explore,81,52.96
b82c53e0,explore,29,129.044
38790dde,explore,23,135.091
38678694,welcome,7,20.055
b81aac1c,welcome,67,33.81
381dc512,explore,33,147.809
381e9853,,35,
b4d56bdc,query,173,364.864
38c354f3,explore,22,94.458
37b00432,welcome,7,33.068
b922e3e3,welcome,50,29.458
b8e6681d,query,91,476.103
3.88E+13,query,26,411.149
38106d1a,query,214,403.631
3.80E+08,explore,22,101.784
b8d1dabb,query,17,412.165
38fa3202,explore,345,127.054
37a1058d,welcome,75,26.996
381e9853,query,132,291.485
393d8a15,query,35,388.989
b9071e0f,query,94,318.053
b78b6241,query,73,307.53
385d4712,query,144,357.73
b8dd316b,explore,178,92.745
37e8bad2,welcome,38,37.336
38e75f40,welcome,14,24.992
34a81b8f,explore,121,65.251
b8da46e6,,23,
390d228a,query,466,344.113
b904fd6c,,10,
b8a57e40,query,84,348.816
b826784b,welcome,127,48.771
3867b4fa,welcome,7,39.5
b78d0280,,18,
b9093311,welcome,76,24.026
39185800,welcome,23,16.674
b86cb46d,explore,92,123.575
388473f3,query,28,334.303
b8bff102,explore,22,113.203
b888fdf7,query,67,367.57
3861d537,explore,65,105.482
b87c4065,welcome,58,25.498
b7711fd2,explore,647,117.858
b92cb918,query,116,356.554
3821abf6,,49,
b7cf0af2,query,52,360.607
37921011,index,4,44.463
b888fdf7,welcome,83,24.967
3910ea02,query,21,256.616
b6b8e96f,query,17,467.891
b8acdbe3,query,69,338.309
b89e1007,welcome,25,21.299
b6f8d90b,explore,109,209.447
b99b685a,explore,268,114.079
b97b1f52,explore,110,105.477
3911c751,explore,22,129.554
3857dfc6,query,170,355.37
3827db44,query,213,345.417
b8f365e5,welcome,9,31.281
3911c453,query,17,426.159
36d0a1dc,explore,22,111.734
383abed1,index,22,62.81
b70bcb2c,query,112,432.88
3825c62e,query,17,406.876
b803639d,explore,22,95.241
38a53e49,welcome,74,26.173
38b157d8,query,126,317.243
b63ebe25,explore,1209,101.196
b8a7d0b8,welcome,15,24.16
b78e0dd7,explore,22,144.564
390a543e,welcome,20,35.961
35f3508e,explore,375,179.378
b7e9cf39,welcome,48,33.769
3707fb77,explore,80,80.828
b9073d39,query,146,295.468
393d8a15,query,147,331.995
b7cf0af2,explore,98,121.878
38d0167a,query,41,322.431
b8a7d0b8,query,40,387.561
38a9f6f5,,67,
b826784b,index,32,35.122
b8d56faf,query,17,493.106
b7cf0af2,welcome,106,14.259
b9073d39,query,138,360.312
382db31a,explore,30,103.017
b821442d,index,7,42.502
38e9c25e,welcome,7,27.9
b92a4e3d,explore,22,160.891
381dc512,welcome,48,38.069
38c8cabf,welcome,114,35.086
37d6bbaf,query,17,332.427
b9058a3a,query,17,430.481
3857dfc6,explore,151,137.758
38790dde,explore,28,134.022
3912a215,query,36,301.471
3431e690,index,7,29.366
b8d3ccd1,explore,36,104.235
b874f71a,,51,
377f7199,query,17,342.362
37d6bbaf,query,26,435.769
34a81b8f,query,18,304.829
b7c6f37d,explore,38,112.267
37a1058d,welcome,25,29.459
b92a4e3d,,66,
b78ab09a,welcome,33,49.137
b8817cf7,query,72,346.482
b802185b,welcome,7,35.048
b870db1c,explore,178,100.223
38ebf974,query,24,454.558
3845e841,explore,56,34.372
38edf1a3,explore,50,130.612
b80488d1,,94,
b7b79d06,index,17,54.079
b8b1fce4,explore,77,149.051
b925aacd,explore,145,105.158
b8cc587b,welcome,7,20.983
390a543e,explore,78,134.53
b8e2850c,welcome,145,34.274
3910ea02,query,165,286.677
b929ba86,explore,22,59.424
b715fc7b,explore,61,141.057
b98f6b2a,welcome,12,24.204
38090141,index,59,50.091
b63ebe25,query,20,388.664
b6bfc32c,query,44,360.588
381dc512,welcome,33,22.341
b8a3ab17,query,191,376.047
385bf153,explore,40,35.19
b8a3ab17,welcome,20,38.372
b8d56faf,query,138,265.774
3.80E+08,explore,100,121.035
3825c62e,explore,22,99.349
b8bb2174,,35,
38b0ba4b,query,190,406.095
38d3b1c9,explore,167,104.304
370571d4,welcome,13,35.089
370571d4,query,17,316.84
381dc512,explore,119,121.654
b6e567e4,query,65,391.921
b8c172c6,query,17,302.81
b961b7f3,,92,
b7b59c98,query,19,463.76
b853d519,explore,25,61.722
b803639d,query,178,490.232
3945ce3a,index,9,71.954
3707fb77,explore,154,52.893
b97c6f36,query,54,285.539
b6a42ef9,index,42,67.844
3911c453,query,24,428.077
b8b14542,query,44,366.95
3926e692,query,98,338.496
3882b813,query,74,366.795
b874f71a,,21,
b8b6d7a6,query,150,427.282
38a53e49,explore,30,101.053
b6990fc2,index,4,52.722
381e9853,query,246,364.535
b8a7d0b8,query,79,458.568
38498b7e,welcome,174,38.886
396a04f5,explore,90,86.865
b7006301,query,88,318.818
3911c751,explore,149,167.6
37e8bad2,welcome,50,27.226
39872d38,explore,26,91.648
b8a57e40,query,24,452.269
3827db44,explore,22,88.913
b8c0d87a,welcome,7,32.992
3908895c,explore,22,142.905
38b0ba4b,welcome,41,24.916
b8a61c3d,welcome,67,21.695
b8cc587b,query,26,374.893
37b00432,query,17,352.136
39163a9b,query,72,312.955
b72f7963,,43,
37c8fbf3,welcome,20,40.696
388c423e,query,104,383.965
3911c453,welcome,7,18.34
3911c751,query,44,408.424
38b09a88,explore,132,92.184
38aafec6,query,25,446.334
37b00432,,20,
38551544,explore,64,137.866
3945ce3a,explore,52,96.229
393d8a15,query,33,394.775
b8884021,explore,154,135.624
b63ebe25,,38,
39006782,explore,71,47.389
b7e9cf39,explore,184,76.758
b860ffac,explore,90,101.26
38551544,,69,
b7f28310,query,130,423.295
b83f119a,query,49,287.495
b7c6f37d,welcome,22,38.601
b887db02,query,17,389.757
b957115e,index,42,56.085
3821abf6,query,87,491.502
36efb219,query,19,308.615
b8075a0a,explore,144,144.205
b8e1fea6,query,17,409.547
b7711fd2,index,23,74.422
b8d3ccd1,query,97,296.361
b8d56faf,welcome,36,20.129
38ff8474,welcome,66,31.885
b870db1c,index,31,34.409
3821abf6,welcome,47,14.239
b9166fd4,welcome,13,21.252
381dc512,query,17,276.758
37295f54,query,88,334.081
379f5fd6,welcome,37,25.785
3.89E+41,index,9,32.424
b8d19bd2,welcome,7,26.365
3431e690,query,159,389.46
38bc1af6,welcome,47,30.291
b81aac1c,explore,134,56.852
b7c6f37d,explore,154,111.959
b8dd316b,explore,22,79.416
b853adc7,welcome,11,14.929
b803639d,query,34,198.814
b86cb46d,explore,161,82.738
b9069c73,query,113,390.892
b8b7a428,query,17,364.163
37eb9889,index,13,51.992
b8997506,welcome,10,15.683
b68320d1,query,41,312.471
37a6168f,query,101,363.89
35c5412f,explore,43,118.638
b9011f98,,10,
b836089c,welcome,7,35.213
38f5c56b,query,51,263.62
38d0167a,welcome,31,38.1
b836089c,explore,22,115.502
b895837d,welcome,7,27.679
35f3508e,query,118,397.269
b7c6f37d,explore,22,66.004
388473f3,query,457,423.774
392269f6,query,62,385.724
b925aacd,query,27,419.855
38b768a6,index,18,53.17
b9093311,explore,194,144.41
b63ebe25,query,236,383.209
35c5412f,query,26,389.09
379f5fd6,query,17,390.059
384f2238,explore,120,51.532
b8c0d87a,explore,105,144.147
37eb9889,explore,22,193.614
b788a64e,query,237,457.575
35cfb7c7,,10,
382345b2,query,55,440.312
3945ce3a,explore,38,84.245
b8aff57d,,148,
b915b875,,10,
b92a4e3d,query,205,294.697
38dfb031,query,17,332.769
3795b01d,index,42,40.113
38d9e91d,explore,118,170.605
37a1058d,explore,125,112.222
b7cd9fae,,19,
38790dde,query,68,331.511
b826784b,welcome,11,32.37
382345b2,explore,30,135.239
b8989f91,query,31,424.858
38c78d69,explore,103,94.129
b8cc8870,welcome,27,35.954
b78ab09a,explore,142,77.704
b80488d1,index,5,50.98
b8b14542,query,67,441.655
38ef3cac,query,107,340.042
38d9e91d,welcome,31,27.003
b9071e0f,welcome,15,39.377
b7e9cf39,query,43,361.427
39048856,welcome,25,27.394
b7fddf00,query,93,350.887
39185800,welcome,19,35.838
b78b6241,query,17,310.761
b8cc8870,welcome,31,34.941
b6a42ef9,index,4,64.11
37e627d2,explore,238,219.118
b4d56bdc,explore,29,146.628
b7b59c98,query,17,479.131
38790dde,index,27,45.777
381dc512,welcome,19,31.774
b6990fc2,,53,
b7cd9fae,explore,47,38.325
35cfb7c7,explore,51,123.653
b9011f98,welcome,32,33.37
b88a09a7,query,144,335.482
386d2da5,welcome,56,36.121
b81e28fd,welcome,11,34.805
b89e1007,explore,124,61.825
b91b59ef,welcome,44,20.162
b800ff0e,query,17,351.73
3809ff9f,explore,22,124.468
b76cdcea,query,46,373.85
382533f1,query,43,343.917
b63335a2,explore,77,82.877
38e75f40,explore,22,108.625
39244681,query,96,419.705
38b0ba4b,welcome,20,20.722
38edab26,index,25,62.632
38a9f6f5,query,201,420.03
38b768a6,explore,34,156.526
b7fa5fae,explore,195,132.795
37f7103f,welcome,50,43.666
397850c1,query,71,238.145
b88a09a7,welcome,11,46.879
b8569c03,welcome,26,25.902
38c31cae,query,155,446.257
397850c1,query,31,323.328
38b768a6,query,17,397.244
382db31a,index,25,51.746
b8989f91,query,147,318.076
b79faab0,welcome,74,26.9
382db31a,query,121,359.303
b8569c03,query,43,513.144
38b768a6,index,15,27.761
b8a7d0b8,welcome,41,36.24
392269f6,welcome,40,28.117
b8bb2174,welcome,99,31.315
36d0a1dc,explore,33,129.65
b70bcb2c,welcome,74,39.592
39244681,query,67,389.581
b866983b,welcome,8,28.185
b8884021,query,101,472.741
3875fb10,query,68,413.132
3472f217,welcome,63,27.407
3969e39d,welcome,7,4.736
397850c1,index,48,54.425
b93c1e35,explore,201,44.081
396c890c,query,68,410.116
37ab4274,query,48,313.256
b8b1fce4,query,32,287.398
b7f28310,explore,228,102.689
b7006301,query,85,348.83
b8a57e40,query,110,382.598
b76cdcea,query,17,438.044
b961b7f3,explore,409,109.88
387fd3f2,query,57,449.414
b7c6f37d,query,110,340.472
b78b6241,,38,
38b157d8,query,17,318.71
b8e5a9d7,query,17,373.952
b8c83caf,query,22,408.831
b6a42ef9,explore,79,190.69
38e2c522,welcome,57,42.307
b7f5bb66,welcome,29,32.959
3707fb77,query,114,425.376
38b09a88,welcome,16,35.306
b69d376c,welcome,30,26.445
b91b59ef,explore,26,162.744
b7b79d06,query,17,361.937
37921011,welcome,7,29.584
b7b187ea,query,246,360.21
b98f41a7,explore,22,127.075
38498b7e,welcome,46,26.48
38be11d8,query,324,428.7
387e161c,welcome,65,41.032
b6bfc32c,index,14,35.371
38731251,query,106,332.202
b688a066,query,58,373.563
b7dc6a9a,explore,385,101.718
3910ea02,,73,
35f3508e,query,149,356.391
3911c453,explore,22,121.376
b78ab09a,explore,148,29.383
379b1d53,welcome,23,26.588
38a9f6f5,query,17,418.174
38551544,query,74,419.501
38c8cabf,query,46,369.916
b6990fc2,welcome,9,34.259
